Age,Gender,Home_Ownership,Loan_Purpose,Loan_Int_Rate,Payment_History,Previous_Loan,Parental_Income_IDR_Monthly,Loan_Amount_IDR,Working_Student,Course_Credits,Liability,Attendance,Grade_Average,Parent_Job,Residence_Type,Label
22,L,rent,education,3,36,No,27220846.25,19941117,Bekerja_Karena_Butuh,20,2,87.53102477960635,3.6755699006871954,Petani,Rural,Layak
24,L,own,education,3,36,No,20324190.25,15991254,Bekerja_Karena_Butuh,19,2,76.82257222755837,2.285483626638792,Nurse,Rural,Layak
22,L,rent,medical,3,48,No,15010547.5,11833934,Bekerja_Karena_Butuh,20,2,80.10394479856345,3.1061536190937837,Nurse,Urban,Layak
23,L,rent,venture,3,36,Yes,67571747.75,25005840,Bekerja_Optional,24,1,84.37843702149812,2.759152423059444,Wiraswasta,Rural,Layak
24,L,own,medical,3,36,No,15204819.5,14371202,Bekerja_Karena_Butuh,20,4,85.36360824337854,3.5904023477501044,Petani,Urban,Layak
22,P,rent,venture,3,24,Yes,45950387.16666666,20618366,Bekerja_Optional,21,3,71.72120835469049,2.281558756581271,Wiraswasta,Urban,Tidak Layak
21,L,rent,education,3,24,Yes,55118103.083333336,17839360,Bekerja_Optional,20,1,79.87148152044364,3.114385050702915,Petani,Rural,Tidak Layak
22,L,own,venture,3,36,No,24633091.98196754,15634512,Bekerja_Karena_Butuh,20,3,69.8151902866621,2.6129191169610455,Petani,Rural,Layak
24,L,own,venture,3,36,Yes,20561465.166666668,17788403,Bekerja_Karena_Butuh,19,4,93.92778341139449,2.8419409064985035,Petani,Urban,Tidak Layak
22,P,rent,medical,3,24,No,28478555.08333333,23718642,Bekerja_Karena_Butuh,21,2,77.58486977602502,3.362199170919885,Buruh,Rural,Tidak Layak
22,L,mortgage,medical,3,36,No,19506123.0,15623002,Bekerja_Karena_Butuh,18,2,87.52804726119386,3.344552550599919,Petani,Urban,Layak
23,L,rent,education,3,36,Yes,16979069.25,14568779,Bekerja_Karena_Butuh,19,3,84.05969931114275,2.0968303441561345,Sudah Meninggal,Rural,Tidak Layak
25,P,own,venture,3,48,No,14987180.367117686,18039275,Bekerja_Optional,20,2,75.33791490834614,3.454770629480428,Wiraswasta,Rural,Layak
22,P,rent,medical,3,48,Yes,18473711.42888304,31178936,Bekerja_Karena_Butuh,23,3,77.88086288892407,3.437333998092327,Petani,Urban,Layak
22,L,rent,venture,3,36,Yes,36579016.92893479,10182499,Bekerja_Karena_Butuh,20,2,71.45930440897914,1.6268280681889964,Karyawan Swasta,Urban,Tidak Layak
23,L,rent,education,3,36,Yes,35598826.25,20835269,Bekerja_Optional,19,3,82.14679236661574,2.392974488057397,Buruh,Urban,Tidak Layak
21,L,rent,medical,3,48,Yes,36828203.75,21310236,Bekerja_Optional,22,3,74.05423348191066,3.8504401103760486,Petani,Urban,Layak
25,L,rent,education,3,24,Yes,18773049.75,15027160,Bekerja_Karena_Butuh,19,3,69.2648777115813,3.2241841320029563,Petani,Urban,Tidak Layak
23,L,mortgage,venture,3,24,Yes,47613523.01758928,26086813,Bekerja_Optional,21,1,95.70211052039235,3.169739459537265,Petani,Urban,Tidak Layak
22,P,mortgage,venture,3,24,Yes,12415156.423013967,22595815,Bekerja_Karena_Butuh,18,3,72.95107307800006,4.0,Karyawan Swasta,Rural,Tidak Layak
22,L,rent,education,3,60,Yes,35736941.5,20707319,Bekerja_Optional,19,3,86.13478870926535,2.228396087715104,Karyawan Swasta,Urban,Layak
22,L,rent,personal,3,36,Yes,55540085.62672966,3173657,Bekerja_Optional,21,3,74.23090663482733,2.518853786313702,Petani,Rural,Layak
25,P,mortgage,venture,3,48,No,30908472.83333333,27783717,Bekerja_Optional,23,3,80.77805240363739,3.771429723317329,Buruh,Rural,Layak
25,P,rent,venture,3,36,No,21494583.397671036,12562264,Bekerja_Optional,21,1,68.56766147728807,1.9620339062762744,Nurse,Rural,Tidak Layak
23,L,mortgage,education,3,48,Yes,39223299.358830445,13665680,Bekerja_Optional,19,3,87.86008303958693,3.4406567366124454,Petani,Rural,Layak
25,P,rent,education,3,48,Yes,23704219.5,17534929,Bekerja_Karena_Butuh,22,2,65.55580033223337,3.042588101206324,Wiraswasta,Urban,Layak
25,L,rent,education,3,36,Yes,12484505.583333334,12823955,Bekerja_Karena_Butuh,21,3,70.55690368248646,1.804728120827659,Petani,Urban,Tidak Layak
22,L,rent,education,3,48,No,46034369.333333336,17649889,Bekerja_Optional,21,0,94.08871867384885,3.313118135517913,Petani,Rural,Layak
22,L,rent,medical,3,24,Yes,15902984.5,13890127,Bekerja_Karena_Butuh,20,3,78.49451382586005,3.01088462516365,Nurse,Urban,Tidak Layak
25,P,mortgage,venture,3,24,No,12978786.166666666,12037078,Bekerja_Karena_Butuh,19,2,75.87481861582785,2.513946114259547,Wiraswasta,Urban,Tidak Layak
24,L,mortgage,venture,3,36,Yes,29323518.324006695,7912328,Bekerja_Karena_Butuh,19,2,63.06929383984629,1.774945402837192,Wiraswasta,Urban,Layak
22,L,mortgage,venture,3,36,No,21978377.240340542,29027709,Bekerja_Karena_Butuh,18,3,100.0,3.3189673716762846,Petani,Urban,Tidak Layak
22,P,rent,personal,3,36,No,27803662.25,23044228,Bekerja_Karena_Butuh,18,2,77.39324213110523,2.987230137876945,Buruh,Rural,Tidak Layak
24,P,mortgage,education,3,48,Yes,19178339.84564764,16134972,Bekerja_Optional,21,1,86.46365313106494,2.6295181022508958,Nurse,Rural,Layak
25,L,rent,education,3,48,Yes,16101140.789141685,7158039,Bekerja_Karena_Butuh,20,3,67.73117241482723,3.8689285591635825,Pensiunan,Rural,Layak
24,P,rent,education,3,36,Yes,39394975.2103625,31463160,Bekerja_Karena_Butuh,20,0,78.56236681615049,3.0578481677897638,Wiraswasta,Urban,Layak
25,L,rent,venture,3,36,Yes,70689013.7720274,16182024,Bekerja_Optional,21,3,58.19462003592304,2.639143528494942,Wiraswasta,Rural,Tidak Layak
25,P,rent,medical,3,36,No,8684059.583333334,7859675,Bekerja_Karena_Butuh,18,2,76.69498057682047,3.1811504384176774,Petani,Rural,Tidak Layak
24,P,rent,medical,3,48,Yes,58429545.331159875,13699510,Bekerja_Optional,22,2,76.57419094111447,3.0765674736316613,Petani,Urban,Layak
23,L,rent,venture,3,36,No,42599381.9028925,24098917,Bekerja_Optional,19,4,90.42636907804338,2.704755374612553,Wiraswasta,Urban,Tidak Layak
25,L,mortgage,medical,3,48,Yes,49094153.333333336,23037515,Bekerja_Optional,18,1,68.0801685454129,3.762490044135547,Wiraswasta,Urban,Layak
23,P,rent,venture,3,36,Yes,46047523.16666666,19367206,Bekerja_Optional,18,3,100.0,2.4639583750819374,Wiraswasta,Rural,Layak
23,P,rent,medical,3,48,Yes,22362528.5,15411508,Bekerja_Karena_Butuh,20,3,97.08423785304475,2.099866888685711,PNS,Urban,Layak
22,L,rent,medical,3,48,Yes,43893369.53568299,12872971,Bekerja_Optional,19,3,81.37165480796601,3.0328803175883294,Petani,Urban,Layak
24,L,rent,education,3,36,Yes,32209926.007428702,19132611,Bekerja_Karena_Butuh,20,2,71.2567254375351,2.2912184174234107,Wiraswasta,Rural,Layak
23,P,mortgage,personal,3,24,No,14353867.666666666,11081334,Bekerja_Karena_Butuh,18,3,69.02101724871264,2.5277287244496427,Wiraswasta,Rural,Tidak Layak
23,L,mortgage,venture,3,48,Yes,40083271.583333336,15017468,Bekerja_Optional,21,2,70.5768072478896,2.666694756027317,Nurse,Rural,Layak
23,L,mortgage,medical,3,36,Yes,41185338.81544706,17698439,Bekerja_Optional,19,1,62.041532820531245,2.798541856070342,Wiraswasta,Rural,Layak
22,L,rent,venture,3,48,Yes,12107081.317025915,17963605,Bekerja_Karena_Butuh,19,2,100.0,2.315109104895528,Petani,Rural,Tidak Layak
22,L,mortgage,medical,3,48,Yes,47822784.75,25396758,Bekerja_Optional,19,1,81.31455415599262,3.400793953066024,Wiraswasta,Rural,Layak
22,L,rent,personal,3,48,Yes,37454281.92646475,17561755,Bekerja_Karena_Butuh,20,1,53.37498584895259,2.6284009031249087,PNS,Rural,Layak
21,P,own,education,3,24,No,38036998.38138899,19558105,Bekerja_Optional,21,3,84.41722265708871,3.497307680180405,Karyawan Swasta,Urban,Tidak Layak
23,L,rent,education,3,36,No,30907966.916666668,19603714,Bekerja_Optional,21,3,81.49299614025101,3.3771152745027964,Petani,Rural,Layak
22,L,rent,medical,3,24,No,22286641.0,15371682,Bekerja_Karena_Butuh,20,2,66.78794834968691,3.042568327182505,Wiraswasta,Urban,Tidak Layak
24,P,own,venture,3,24,Yes,29560285.80074206,3195031,Bekerja_Karena_Butuh,20,4,97.75779293544329,2.797490527663654,Petani,Urban,Tidak Layak
25,L,mortgage,personal,3,24,No,55181563.66714573,14526708,Bekerja_Karena_Butuh,22,3,75.80661781935314,2.3407104513210495,Wiraswasta,Rural,Tidak Layak
22,P,mortgage,education,3,48,Yes,13513540.083333334,11855186,Bekerja_Karena_Butuh,19,3,79.56607054043015,4.0,Wiraswasta,Rural,Layak
21,L,mortgage,personal,3,36,Yes,100000000.0,67388622,Bekerja_Optional,22,2,77.49978858388056,2.40097869518259,Wiraswasta,Urban,Tidak Layak
23,L,mortgage,education,3,36,Yes,24863274.58333333,23382736,Bekerja_Karena_Butuh,19,2,79.96808317563297,2.993432026611801,Wiraswasta,Urban,Tidak Layak
22,P,rent,medical,3,36,Yes,18171515.606043,30459566,Bekerja_Optional,21,2,83.14885313955313,2.921663178588907,Wiraswasta,Rural,Tidak Layak
25,L,rent,education,3,48,Yes,23228332.218980715,7176447,Bekerja_Optional,20,2,100.0,2.9528777943432276,Petani,Rural,Layak
21,P,mortgage,education,3,36,Yes,37031076.333333336,25106428,Bekerja_Optional,22,3,78.26603878525933,2.649217223788194,Wiraswasta,Urban,Layak
25,L,mortgage,medical,3,36,Yes,28990031.092826743,18303979,Bekerja_Karena_Butuh,22,1,54.37682510677659,2.391331932005735,PNS,Rural,Layak
22,L,rent,medical,3,48,No,15738515.788365923,18132791,Bekerja_Optional,20,1,74.97239138017068,2.5118238327242066,Petani,Rural,Tidak Layak
22,L,mortgage,education,3,24,No,44728092.5,23158899,Bekerja_Optional,23,2,57.60358131344567,1.988812848517954,PNS,Rural,Tidak Layak
24,P,mortgage,personal,3,48,Yes,37159579.16666666,23272117,Bekerja_Optional,18,2,67.12698899418174,3.1939867627337533,Wiraswasta,Urban,Layak
22,P,mortgage,education,3,24,Yes,36869688.91666666,25284196,Bekerja_Optional,21,2,81.94201008119964,3.6940187098251114,Wiraswasta,Rural,Tidak Layak
25,P,mortgage,personal,3,36,No,52994073.71692538,15798273,Bekerja_Optional,22,2,80.91527549580913,2.613960592582448,Wiraswasta,Rural,Layak
21,L,rent,venture,3,24,No,26077081.82974384,13274499,Bekerja_Optional,22,3,87.88114453684884,2.776596546670233,Buruh,Rural,Tidak Layak
24,L,rent,personal,3,36,No,28102735.46047252,16251311,Bekerja_Optional,18,2,74.58850805200294,2.299717082849987,Sudah Meninggal,Urban,Tidak Layak
24,L,mortgage,medical,3,24,No,79369218.5,26873151,Bekerja_Optional,18,3,89.34657177639438,3.0264479749267603,PNS,Rural,Tidak Layak
23,L,rent,education,3,48,No,58899324.25,19118179,Bekerja_Optional,20,1,98.072091965156,3.339271797604485,Wiraswasta,Urban,Layak
23,P,mortgage,education,3,36,Yes,42465659.93165266,15694769,Bekerja_Karena_Butuh,22,3,80.5705536939935,3.1995983608426752,Petani,Urban,Layak
21,P,rent,personal,3,36,Yes,25101541.08372077,18676767,Bekerja_Karena_Butuh,23,2,88.70630067910801,3.0490419275790046,Petani,Rural,Layak
22,L,rent,venture,3,48,Yes,56616399.49446616,15203182,Bekerja_Optional,18,1,75.75879394458804,3.259273199397049,Wiraswasta,Urban,Layak
22,P,own,medical,3,24,No,15093011.916666666,14061452,Bekerja_Karena_Butuh,21,3,73.3019232703132,2.038382090273708,Buruh,Rural,Tidak Layak
23,P,mortgage,education,3,48,Yes,53244187.75,17519868,Bekerja_Optional,20,1,100.0,3.0829698644095638,Petani,Urban,Layak
24,P,mortgage,education,3,48,Yes,31508995.916666668,19684607,Bekerja_Optional,20,3,71.29939556107985,2.315317869732594,Wirausaha,Urban,Layak
23,P,own,venture,3,24,No,58289694.66666666,21591067,Bekerja_Optional,21,2,79.9260593194932,3.9557189025408768,Wiraswasta,Urban,Tidak Layak
25,P,rent,education,3,24,No,9483842.478938904,9929822,Bekerja_Karena_Butuh,19,2,81.55165014241355,3.0790021261795255,Petani,Rural,Tidak Layak
23,P,rent,venture,3,36,Yes,36809990.75,24412060,Bekerja_Optional,24,2,76.08368892798981,3.74159413446178,Wiraswasta,Urban,Layak
23,P,rent,education,3,24,Yes,16438750.25,12867362,Bekerja_Karena_Butuh,19,3,60.15020593486406,3.339101061516172,Petani,Urban,Tidak Layak
23,P,mortgage,education,3,36,No,47868317.25,18990006,Bekerja_Optional,18,1,99.74842245169492,1.6773390106257735,PNS,Rural,Layak
22,P,rent,education,3,48,Yes,37519791.833333336,23140502,Bekerja_Optional,20,3,92.6481888236657,3.054045891889934,Wiraswasta,Urban,Layak
24,L,mortgage,medical,3,48,No,4047333.3333333335,12051629,Bekerja_Karena_Butuh,21,3,84.98278028576684,3.638431154559188,Nurse,Urban,Layak
22,P,rent,venture,3,36,Yes,13331916.0,12536540,Bekerja_Karena_Butuh,21,3,83.99050068446181,2.398230988671803,Wiraswasta,Rural,Tidak Layak
22,L,rent,education,3,48,Yes,36776600.25,19727835,Bekerja_Optional,18,2,98.90633194882167,2.7655228775188325,PNS,Urban,Layak
24,L,mortgage,venture,3,24,Yes,23772736.521981902,8084839,Bekerja_Optional,20,3,82.68493332578589,2.339885263474251,Petani,Urban,Tidak Layak
23,L,rent,medical,3,48,No,16412442.583333334,13254293,Bekerja_Karena_Butuh,20,3,76.8727028827492,3.1500130103984803,Nurse,Urban,Layak
23,P,rent,personal,3,48,No,27217810.75,23050231,Bekerja_Karena_Butuh,18,2,58.52642153648853,2.641731481430359,Petani,Rural,Tidak Layak
22,L,mortgage,education,3,48,No,20781475.013431713,13173640,Bekerja_Optional,20,1,85.86850152785463,2.8430267758658396,Wiraswasta,Rural,Layak
23,L,rent,education,3,48,Yes,26217107.58333333,18631319,Bekerja_Karena_Butuh,21,1,79.66566143815129,3.4211476495030597,Wiraswasta,Urban,Layak
24,P,rent,education,3,36,Yes,18787215.416666668,16971802,Bekerja_Karena_Butuh,23,2,59.97929501715839,2.958289551387996,Wiraswasta,Rural,Tidak Layak
24,P,rent,personal,3,48,Yes,8999094.368227266,24759268,Bekerja_Optional,20,3,81.05883718868073,2.7643165955225997,PNS,Urban,Tidak Layak
25,L,rent,personal,3,36,Yes,17373196.552508406,23921309,Bekerja_Optional,22,1,77.90974153415958,3.6801098082009682,Petani,Urban,Tidak Layak
21,L,own,medical,3,24,No,15116284.083333334,13123634,Bekerja_Karena_Butuh,19,3,72.47837036773885,2.571091366811423,Petani,Rural,Tidak Layak
22,L,rent,venture,3,48,No,51505904.59883107,24297212,Bekerja_Optional,21,3,76.35897361272797,1.7878606604252945,Wiraswasta,Rural,Layak
23,L,rent,medical,3,48,No,36942061.01618812,9408111,Bekerja_Karena_Butuh,20,2,73.00498290932507,2.490098201089288,Petani,Rural,Layak
25,P,mortgage,personal,3,24,Yes,37051818.91666666,25055219,Bekerja_Optional,20,3,64.94906337166188,2.811955004612112,Buruh,Urban,Tidak Layak
24,L,mortgage,personal,3,36,No,41327516.975197755,20760406,Bekerja_Optional,19,3,74.88653646376481,2.8936754356914274,PNS,Rural,Tidak Layak
24,P,rent,education,3,36,Yes,21810573.416666668,18197550,Bekerja_Karena_Butuh,19,2,85.94333815903903,2.424578798584444,Wiraswasta,Rural,Tidak Layak
23,L,mortgage,education,3,36,No,73472253.83333333,18195986,Bekerja_Optional,20,1,89.45495206763667,3.320825569114957,Wiraswasta,Urban,Layak
25,L,rent,personal,3,36,Yes,62020324.16666666,16952907,Bekerja_Optional,24,1,90.34302906179995,3.5892452758405486,Petani,Rural,Layak
23,P,mortgage,education,3,48,Yes,24946244.916666668,20079998,Bekerja_Karena_Butuh,18,2,62.554354247470016,2.7360709864956,Wiraswasta,Urban,Layak
23,L,rent,education,3,48,Yes,8874440.846431535,22558684,Bekerja_Optional,19,3,76.71070468689503,3.0440555359558283,Pedagang,Urban,Tidak Layak
25,L,mortgage,personal,3,36,No,33399606.5,23219929,Bekerja_Optional,19,3,63.40007969182095,3.086906921701187,Petani,Rural,Tidak Layak
24,P,rent,medical,3,36,No,24020172.22946263,13010675,Bekerja_Optional,20,3,81.79152650877725,1.7665683758890693,Pensiunan,Rural,Tidak Layak
23,P,rent,personal,3,36,No,23977404.2969019,21474804,Bekerja_Karena_Butuh,20,2,85.26029885734592,2.738967934215218,Wiraswasta,Urban,Tidak Layak
22,L,mortgage,personal,3,36,Yes,42433254.5,22164288,Bekerja_Optional,19,1,93.50307976803992,2.293155613974399,Wiraswasta,Urban,Layak
24,L,own,personal,3,36,No,38306958.32286664,18849914,Bekerja_Karena_Butuh,20,2,100.0,2.6558938787599162,PNS,Rural,Layak
25,L,rent,medical,3,48,No,32991989.05607994,6799510,Bekerja_Karena_Butuh,23,3,94.98892084357269,2.0770757655381553,Wiraswasta,Urban,Layak
22,L,rent,medical,3,36,No,10357174.708000075,31070103,Bekerja_Optional,19,3,49.54999349627075,2.6775375293095247,Wiraswasta,Rural,Tidak Layak
23,L,rent,education,3,48,Yes,44703411.1059895,16641768,Bekerja_Optional,21,2,52.21193860960792,3.5816594505637696,Wiraswasta,Urban,Layak
24,P,mortgage,education,3,48,No,37341203.25,24795063,Bekerja_Optional,22,3,72.29112439300059,3.759651004080135,Karyawan Swasta,Urban,Layak
22,P,mortgage,medical,3,36,No,7299026.996910177,15320264,Bekerja_Karena_Butuh,21,3,88.78808153653257,2.807187583696748,Petani,Urban,Layak
24,L,mortgage,education,3,36,Yes,39035308.69748979,15239274,Bekerja_Karena_Butuh,19,2,62.286933251255796,2.70335169527837,Wiraswasta,Rural,Layak
22,L,rent,education,3,48,No,34344757.104439534,24227035,Bekerja_Karena_Butuh,19,2,99.95697932997363,2.6730811657414253,Petani,Urban,Layak
22,L,mortgage,venture,3,48,No,32543285.817537453,16232757,Bekerja_Optional,20,2,68.95691699618544,3.915389493024013,Wiraswasta,Rural,Layak
24,P,rent,venture,3,24,No,8061782.083333333,6678531,Bekerja_Karena_Butuh,20,2,80.21671143647389,2.6767729322441705,Petani,Rural,Tidak Layak
24,P,own,venture,3,24,No,16692214.5,13277858,Bekerja_Karena_Butuh,20,3,83.07263079314133,0.965760807136442,Petani,Urban,Tidak Layak
22,P,rent,education,3,36,Yes,17105548.416666668,14502823,Bekerja_Karena_Butuh,20,2,77.58840938793547,2.791490182331166,Petani,Rural,Tidak Layak
24,L,rent,medical,3,24,No,27223375.83333333,21469495,Bekerja_Karena_Butuh,24,1,88.14461260903201,3.927771793505954,Wiraswasta,Rural,Tidak Layak
22,P,mortgage,medical,3,48,Yes,5279573.110991918,16752113,Bekerja_Karena_Butuh,20,4,78.06747490390264,3.090494128960819,Wiraswasta,Rural,Layak
22,P,rent,education,3,24,Yes,4047333.3333333335,24422776,Bekerja_Karena_Butuh,19,2,72.52408582378,2.9974843044661923,Wiraswasta,Urban,Tidak Layak
24,L,own,medical,3,36,Yes,28840604.81952764,7937711,Bekerja_Optional,19,2,76.68153685225454,2.6829893646816685,Wiraswasta,Urban,Layak
24,L,rent,personal,3,48,No,35984840.666666664,19989051,Bekerja_Optional,21,3,78.54801712111885,3.22028166469191,Sudah Meninggal,Rural,Tidak Layak
23,L,mortgage,education,3,48,Yes,13892945.050221559,21338839,Bekerja_Karena_Butuh,18,2,79.81442823460577,2.202121080989362,Karyawan Swasta,Urban,Tidak Layak
23,L,mortgage,venture,3,48,Yes,24808129.666666668,16641837,Bekerja_Karena_Butuh,22,2,81.61138249091962,2.7129795749348204,Wiraswasta,Rural,Layak
22,L,mortgage,medical,3,36,Yes,33347497.08333333,19596980,Bekerja_Optional,19,3,94.67080516224934,2.8356927484170016,Buruh,Rural,Layak
22,L,mortgage,medical,3,48,Yes,36861088.333333336,20611423,Bekerja_Optional,19,2,90.0077053800476,3.1617199081737004,PNS,Urban,Layak
23,L,rent,medical,3,24,Yes,18723469.916666668,17058691,Bekerja_Karena_Butuh,19,5,94.4016046357484,3.400667125078084,Nurse,Rural,Tidak Layak
25,P,rent,personal,3,24,No,22903425.595807176,18323025,Bekerja_Karena_Butuh,20,2,70.29996777780512,3.3146069407778347,Wiraswasta,Urban,Tidak Layak
21,L,rent,venture,3,24,No,12580186.60795721,23933568,Bekerja_Optional,21,1,81.05026452824444,2.085444493763982,Wiraswasta,Urban,Tidak Layak
24,L,rent,personal,3,48,No,30898860.416666668,18005069,Bekerja_Optional,19,2,83.13113949238497,3.536447554429506,Petani,Rural,Tidak Layak
22,P,mortgage,education,3,48,Yes,28505590.957458533,17980423,Bekerja_Karena_Butuh,20,3,77.7136639859163,2.839778367213456,Wiraswasta,Rural,Layak
22,L,rent,personal,3,24,Yes,23848405.75,17157864,Bekerja_Karena_Butuh,19,2,80.66859928913011,4.0,Wiraswasta,Urban,Tidak Layak
25,P,mortgage,personal,3,24,Yes,23620237.33333333,16987367,Bekerja_Karena_Butuh,18,0,78.00545456710682,3.260406099749832,Petani,Urban,Tidak Layak
25,L,rent,medical,3,24,No,29302059.244113468,16717801,Bekerja_Optional,21,3,73.09003984048474,3.649566876761225,Petani,Urban,Tidak Layak
21,P,mortgage,education,3,48,No,27867407.75,27116734,Bekerja_Karena_Butuh,20,1,83.06177318850187,3.2116735847798736,Petani,Urban,Layak
23,L,mortgage,personal,3,36,Yes,29691823.31364185,24650967,Bekerja_Optional,20,2,61.556544876996796,2.8546918675593185,Petani,Urban,Tidak Layak
22,L,rent,education,3,36,No,23734068.58333333,18956439,Bekerja_Karena_Butuh,18,1,79.6771775329858,3.1359027443079754,Wiraswasta,Urban,Layak
24,P,rent,education,3,36,No,21185064.72758799,20151612,Bekerja_Optional,20,3,52.754477190844426,2.3018478442031065,Wiraswasta,Rural,Tidak Layak
24,L,rent,medical,3,36,Yes,32586092.5,20741259,Bekerja_Optional,19,3,84.9042739024668,3.0381251356768555,Buruh,Rural,Layak
21,L,rent,education,3,48,Yes,4047333.3333333335,30970113,Bekerja_Optional,19,2,84.04085813609777,3.0001185363072542,Petani,Rural,Tidak Layak
25,P,rent,medical,3,36,No,21742785.40343093,21897056,Bekerja_Karena_Butuh,20,3,68.3906380130133,2.2240639308464933,Petani,Rural,Tidak Layak
22,P,mortgage,medical,3,48,Yes,26558095.416666668,21474102,Bekerja_Karena_Butuh,20,2,92.64938856062602,2.69999746571568,Petani,Urban,Layak
25,L,rent,education,3,48,Yes,45556701.38659898,25246146,Bekerja_Karena_Butuh,19,2,64.42583885177227,3.8641475585576703,Petani,Urban,Layak
24,L,rent,personal,3,48,Yes,48480326.78553381,17604011,Bekerja_Karena_Butuh,21,4,73.74982267983351,3.0313662161651527,Petani,Rural,Layak
22,P,rent,medical,3,48,Yes,15791176.916666666,12178566,Bekerja_Karena_Butuh,19,3,83.07151436015185,3.432904835186968,Petani,Urban,Layak
22,P,mortgage,venture,3,36,Yes,49040526.16666666,25570015,Bekerja_Optional,18,2,74.84447429486106,4.0,PNS,Urban,Layak
22,P,mortgage,medical,3,24,Yes,37044922.24803613,28146945,Bekerja_Optional,20,2,70.22392210944868,2.379299145968616,Petani,Urban,Tidak Layak
